state,county,fipsint,mlra,lrr,class,cpsnum,cps_name,planner_implementation,n,lrr_fill,co2_mean,co2_sterr,n2o_mean,n2o_sterr,ch4_mean,ch4_sterr,soil_carbon_co2,soil_carbon_co2_sterr,biomass_co2,fossil_co2,drainedorganicsoils_co2,biomass_burning_co2,biomassburning_n2o,biomassburning_ch4,liming_co2,direct_soil_n2o,direct_soil_n2o_sterr,indirect_soil_n2o,indirect_soil_n2o_sterr,drainedorganicsoils_n2o,soil_ch4,total_ghg_co2,total_ghg_co2_sterr,total_ghg_co2_min,total_ghg_co2_max,_county_norm
MN,Hennepin,27053,103,M,Cropland Management,372,Combustion System Improvement (CPS 372),Improved Farm Equipment Fuel Efficiency,,,0.012145749,-999.0,-999.0,-999.0,-999,-999,0.0,-999.0,0.0,0.012145749,0,0,0,0,0,0.0,-999.0,0.0,-999.0,0.0,0,0.012145749,,-999.0,-999.0,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,328,Conservation Crop Rotation (CPS 328),Decrease Fallow Frequency or Add Perennial Crops to Rotations,,,0.210526317,-999.0,0.012145749,-999.0,-999,-999,0.210526317,-999.0,0.0,0.0,0,0,0,0,0,0.012145749,-999.0,0.0,-999.0,0.0,0,0.222672067,,-999.0,-999.0,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,340,Cover Crop (CPS 340),Add Legume Seasonal Cover Crop (with 50% Fertilizer N Reduction) to Irrigated Cropland,146.0,,0.294946703,0.007215507,-0.081260151,0.001951207,0,-999,0.294946703,0.007215507,0.0,0.0,0,0,0,0,0,-0.079122624,0.002314482,-0.002137527,0.00116086,0.0,0,0.213686552,0.006313746,-0.000946664,0.520342092,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,340,Cover Crop (CPS 340),Add Legume Seasonal Cover Crop (with 50% Fertilizer N Reduction) to Non-Irrigated Cropland,155.0,,0.260111566,0.007857724,-0.101147471,0.002162309,0,-999,0.260111566,0.007857724,0.0,0.0,0,0,0,0,0,-0.08881116,0.002213529,-0.012336311,0.000584178,0.0,0,0.158964095,0.006463814,-0.010211181,0.43297406,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,340,Cover Crop (CPS 340),Add Legume Seasonal Cover Crop (with 50% Fertilizer N Reduction) to No-Till Irrigated Cropland,146.0,,0.178410804,0.00629157,0.120138238,0.003001949,0,-999,0.178410804,0.00629157,0.0,0.0,0,0,0,0,0,0.061126352,0.002082004,0.059011886,0.001606542,0.0,0,0.298549042,0.006082917,0.003209699,0.588991804,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,340,Cover Crop (CPS 340),Add Legume Seasonal Cover Crop (with 50% Fertilizer N Reduction) to No-Till Non-Irrigated Cropland,155.0,,0.153080837,0.006728985,0.088043624,0.002381826,0,-999,0.153080837,0.006728985,0.0,0.0,0,0,0,0,0,0.079068585,0.002371937,0.008975039,0.000481912,0.0,0,0.241124461,0.006302422,0.009296512,0.452671055,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,340,Cover Crop (CPS 340),Add Non-Legume Seasonal Cover Crop (with 25% Fertilizer N Reduction) to Irrigated Cropland,146.0,,0.075825649,0.002588192,-0.010564123,0.00182468,0,-999,0.075825649,0.002588192,0.0,0.0,0,0,0,0,0,-0.026535402,0.001957606,0.01597128,0.00124796,0.0,0,0.065261527,0.003357076,-0.057706503,0.203212454,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,340,Cover Crop (CPS 340),Add Non-Legume Seasonal Cover Crop (with 25% Fertilizer N Reduction) to Non-Irrigated Cropland,155.0,,0.129339769,0.003603471,-0.015763893,0.000966422,0,-999,0.129339769,0.003603471,0.0,0.0,0,0,0,0,0,-0.015605407,0.000984155,-0.000158487,0.000179489,0.0,0,0.113575876,0.003422522,-0.010211181,0.268969001,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,340,Cover Crop (CPS 340),Add Non-Legume Seasonal Cover Crop (with 25% Fertilizer N Reduction) to No-Till Irrigated Cropland,146.0,,0.008968056,0.003342341,0.115100183,0.001792667,0,-999,0.008968056,0.003342341,0.0,0.0,0,0,0,0,0,0.063171475,0.001546086,0.051928708,0.001430249,0.0,0,0.124068239,0.003761137,0.003860835,0.270241796,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,340,Cover Crop (CPS 340),Add Non-Legume Seasonal Cover Crop (with 25% Fertilizer N Reduction) to No-Till Non-Irrigated Cropland,155.0,,0.041095805,0.003312473,0.102852119,0.002035826,0,-999,0.041095805,0.003312473,0.0,0.0,0,0,0,0,0,0.092146393,0.002133772,0.010705725,0.000431452,0.0,0,0.143947923,0.003977518,0.009296512,0.294823438,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,484,Mulching (CPS 484),Add Mulch to Croplands,,,0.323076934,-999.0,0.0,-999.0,-999,-999,0.323076934,-999.0,0.0,0.0,0,0,0,0,0,0.0,-999.0,0.0,-999.0,0.0,0,0.323076934,,-999.0,-999.0,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Legume Seasonal Cover Crop (CPS 340) (with 50% Fertilizer N Reduction) on Irrigated Croplands,146.0,,0.6225656,0.010438424,0.129778638,0.003052562,0,-999,0.6225656,0.010438424,0.0,0.0,0,0,0,0,0,0.069161283,0.002061377,0.060617355,0.001614714,0.0,0,0.752344238,0.010799908,0.054705663,1.092925551,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Legume Seasonal Cover Crop (CPS 340) (with 50% Fertilizer N Reduction) on Non-Irrigated Croplands,155.0,,0.635653157,0.011890367,0.094869757,0.002370933,0,-999,0.635653157,0.011890367,0.0,0.0,0,0,0,0,0,0.085623904,0.002338521,0.009245853,0.000505758,0.0,0,0.730522914,0.012528328,0.009381592,0.995594448,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Legume Seasonal Cover Crop (CPS 340) + Replace Synthetic N Fertilizer with Compost (CN ratio 10) (CPS 590) on Irrigated Croplands,146.0,,1.030589676,0.014813747,0.026930048,0.001190524,0,-999,1.030589676,0.014813747,0.0,0.0,0,0,0,0,0,-0.009420781,0.001317664,0.036350829,0.001219452,0.0,0,1.057519725,0.014897603,0.132689946,1.402971831,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Legume Seasonal Cover Crop (CPS 340) + Replace Synthetic N Fertilizer with Compost (CN ratio 10) (CPS 590) on Non-Irrigated Croplands,155.0,,0.884086992,0.015116674,0.01653075,0.001422613,0,-999,0.884086992,0.015116674,0.0,0.0,0,0,0,0,0,0.017295749,0.001474557,-0.000764998,0.000300489,0.0,0,0.900617742,0.015331129,0.009381592,1.283058586,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Legume Seasonal Cover Crop (CPS 340) + Replace Synthetic N Fertilizer with Compost (CN ratio 15) (CPS 590) on Irrigated Croplands,146.0,,1.128425111,0.016833356,0.037316895,0.001259482,0,-999,1.128425111,0.016833356,0.0,0.0,0,0,0,0,0,-0.003085703,0.001156058,0.040402598,0.001290258,0.0,0,1.165742006,0.017230771,0.156622554,1.583507217,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Legume Seasonal Cover Crop (CPS 340) + Replace Synthetic N Fertilizer with Compost (CN ratio 15) (CPS 590) on Non-Irrigated Croplands,155.0,,0.955015643,0.016112657,0.028090608,0.001434234,0,-999,0.955015643,0.016112657,0.0,0.0,0,0,0,0,0,0.027038037,0.001491183,0.001052571,0.000334107,0.0,0,0.983106251,0.016569096,0.009381592,1.400282255,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Legume Seasonal Cover Crop (CPS 340) + Replace Synthetic N Fertilizer with Compost (CN ratio 20) (CPS 590) on Irrigated Croplands,146.0,,1.200079754,0.01889452,0.053129322,0.001410329,0,-999,1.200079754,0.01889452,0.0,0.0,0,0,0,0,0,0.007593991,0.001084043,0.045535331,0.001337691,0.0,0,1.253209077,0.019535037,0.175287122,1.744905403,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Legume Seasonal Cover Crop (CPS 340) + Replace Synthetic N Fertilizer with Compost (CN ratio 20) (CPS 590) on Non-Irrigated Croplands,155.0,,1.012931569,0.017356485,0.039615766,0.001546859,0,-999,1.012931569,0.017356485,0.0,0.0,0,0,0,0,0,0.036885828,0.001595718,0.002729938,0.00037188,0.0,0,1.052547335,0.017884892,0.009381592,1.513398386,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Legume Seasonal Cover Crop (CPS 340) + Replace Synthetic N Fertilizer with Compost (CN ratio 25) (CPS 590) on Irrigated Croplands,146.0,,1.292252223,0.020966081,0.061971565,0.001561988,0,-999,1.292252223,0.020966081,0.0,0.0,0,0,0,0,0,0.013224989,0.001033144,0.048746576,0.00139041,0.0,0,1.354223788,0.021891304,0.196835833,1.921545686,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Legume Seasonal Cover Crop (CPS 340) + Replace Synthetic N Fertilizer with Compost (CN ratio 25) (CPS 590) on Non-Irrigated Croplands,155.0,,1.083391567,0.018542667,0.047707965,0.001622507,0,-999,1.083391567,0.018542667,0.0,0.0,0,0,0,0,0,0.043867791,0.001658991,0.003840174,0.000396629,0.0,0,1.131099531,0.019224655,0.009381592,1.643515062,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Non-Legume Seasonal Cover Crop (CPS 340) (with 25% Fertilizer N Reduction) on Irrigated Croplands,146.0,,0.450373348,0.007215277,0.124296976,0.001838847,0,-999,0.450373348,0.007215277,0.0,0.0,0,0,0,0,0,0.071285838,0.001497685,0.053011138,0.001444337,0.0,0,0.574670323,0.008132182,0.055075709,0.772245349,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Non-Legume Seasonal Cover Crop (CPS 340) (with 25% Fertilizer N Reduction) on Non-Irrigated Croplands,155.0,,0.521449128,0.008766502,0.109817926,0.001993104,0,-999,0.521449128,0.008766502,0.0,0.0,0,0,0,0,0,0.098948458,0.002058573,0.010869468,0.000452549,0.0,0,0.631267053,0.010360955,0.009381592,0.84285129,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Non-Legume Seasonal Cover Crop (CPS 340) + Replace Synthetic N Fertilizer with Compost (CN ratio 10) (CPS 590) on Irrigated Croplands,146.0,,0.901729949,0.013783988,0.039546255,0.001890166,0,-999,0.901729949,0.013783988,0.0,0.0,0,0,0,0,0,0.005574553,0.001978903,0.033971702,0.001203712,0.0,0,0.941276204,0.013078055,0.129152772,1.255109968,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Non-Legume Seasonal Cover Crop (CPS 340) + Replace Synthetic N Fertilizer with Compost (CN ratio 10) (CPS 590) on Non-Irrigated Croplands,155.0,,0.790450202,0.013486317,0.040765484,0.001313716,0,-999,0.790450202,0.013486317,0.0,0.0,0,0,0,0,0,0.038604831,0.00135632,0.002160653,0.000286025,0.0,0,0.831215686,0.014105647,0.009381592,1.224183942,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Non-Legume Seasonal Cover Crop (CPS 340) + Replace Synthetic N Fertilizer with Compost (CN ratio 15) (CPS 590) on Irrigated Croplands,146.0,,1.007508748,0.016133761,0.051564624,0.001628836,0,-999,1.007508748,0.016133761,0.0,0.0,0,0,0,0,0,0.012011008,0.001735118,0.039553615,0.00123342,0.0,0,1.059073372,0.015654727,0.155328215,1.453607807,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Non-Legume Seasonal Cover Crop (CPS 340) + Replace Synthetic N Fertilizer with Compost (CN ratio 15) (CPS 590) on Non-Irrigated Croplands,155.0,,0.862587881,0.014604929,0.052259366,0.001359721,0,-999,0.862587881,0.014604929,0.0,0.0,0,0,0,0,0,0.048138725,0.001429709,0.004120641,0.000329782,0.0,0,0.914847247,0.015417875,0.009381592,1.339461515,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Non-Legume Seasonal Cover Crop (CPS 340) + Replace Synthetic N Fertilizer with Compost (CN ratio 20) (CPS 590) on Irrigated Croplands,146.0,,1.082441653,0.018415678,0.068437755,0.001499705,0,-999,1.082441653,0.018415678,0.0,0.0,0,0,0,0,0,0.022765697,0.001560088,0.045672059,0.00126002,0.0,0,1.150879409,0.018151136,0.176087314,1.621104127,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Non-Legume Seasonal Cover Crop (CPS 340) + Replace Synthetic N Fertilizer with Compost (CN ratio 20) (CPS 590) on Non-Irrigated Croplands,155.0,,0.920005354,0.015936165,0.063965478,0.001453926,0,-999,0.920005354,0.015936165,0.0,0.0,0,0,0,0,0,0.058165205,0.001548014,0.005800273,0.000373485,0.0,0,0.983970831,0.016816862,0.009381592,1.451650926,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Non-Legume Seasonal Cover Crop (CPS 340) + Replace Synthetic N Fertilizer with Compost (CN ratio 25) (CPS 590) on Irrigated Croplands,146.0,,1.178517041,0.020652519,0.078242456,0.001429925,0,-999,1.178517041,0.020652519,0.0,0.0,0,0,0,0,0,0.028634524,0.001437004,0.049607932,0.001294745,0.0,0,1.256759497,0.02062612,0.198368035,1.805254572,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Add Non-Legume Seasonal Cover Crop (CPS 340) + Replace Synthetic N Fertilizer with Compost (CN ratio 25) (CPS 590) on Non-Irrigated Croplands,155.0,,0.990444096,0.017245198,0.071527479,0.001531723,0,-999,0.990444096,0.017245198,0.0,0.0,0,0,0,0,0,0.064672359,0.001629232,0.00685512,0.000405031,0.0,0,1.061971574,0.018211887,0.009381592,1.58375078,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Synthetic N Fertilizer Reductions of 15% (CPS 590) on Irrigated Croplands,146.0,,0.413665781,0.005673592,0.086109225,0.001427234,0,-999,0.413665781,0.005673592,0.0,0.0,0,0,0,0,0,0.045831679,0.001345419,0.040277547,0.001429,0.0,0,0.499775006,0.006357993,0.054455741,0.66123722,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,888,Multiple Conservation Practices,Intensive Till to No Till or Strip Till (CPS 329) + Synthetic N Fertilizer Reductions of 15% (CPS 590) on Non-Irrigated Croplands,155.0,,0.464934407,0.007266749,0.077407901,0.001472348,0,-999,0.464934407,0.007266749,0.0,0.0,0,0,0,0,0,0.070752609,0.001510116,0.006655292,0.000350571,0.0,0,0.542342308,0.008454416,0.009381592,0.691052412,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,590,Nutrient Management (CPS 590),Improved N Fertilizer Management on Irrigated Croplands - Reduce Fertilizer Application Rate by 15%,146.0,,-999.0,-999.0,0.015863233,0.001384075,0,-999,-999.0,-999.0,0.0,0.0,0,0,0,0,0,-0.009207708,0.001588912,0.025070941,0.001215528,0.0,0,0.015863233,0.001384075,-999.0,-999.0,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,590,Nutrient Management (CPS 590),Improved N Fertilizer Management on Non-Irrigated Croplands - Reduce Fertilizer Application Rate by 15%,155.0,,-999.0,-999.0,-0.002244199,0.001140463,0,-999,-999.0,-999.0,0.0,0.0,0,0,0,0,0,-0.003139068,0.00109063,0.000894869,0.000108833,0.0,0,-0.002244199,0.001140463,-999.0,-999.0,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,590,Nutrient Management (CPS 590),Replace Synthetic N Fertilizer with Beef Feedlot Manure on Irrigated Croplands,146.0,,0.534134703,0.01552922,-0.115130041,0.004155379,0,-999,0.534134703,0.01552922,0.0,0.0,0,0,0,0,0,-0.109038985,0.003819024,-0.006091055,0.001222767,0.0,0,0.419004663,0.012123515,0.085196265,0.780258094,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,590,Nutrient Management (CPS 590),Replace Synthetic N Fertilizer with Beef Feedlot Manure on Non-Irrigated Croplands,155.0,,0.297878021,0.007849129,-0.127485787,0.003628838,0,-999,0.297878021,0.007849129,0.0,0.0,0,0,0,0,0,-0.111147846,0.003395969,-0.016337941,0.000908142,0.0,0,0.170392234,0.005012825,-7.91646e-17,0.369671905,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,590,Nutrient Management (CPS 590),Replace Synthetic N Fertilizer with Chicken Broiler Manure on Irrigated Croplands,146.0,,0.415982078,0.013584991,-0.131880464,0.005189999,0,-999,0.415982078,0.013584991,0.0,0.0,0,0,0,0,0,-0.117787663,0.004440971,-0.014092801,0.001441731,0.0,0,0.284101614,0.00922635,0.049148134,0.603589906,Hennepin
MN,Hennepin,27053,103,M,Cropland Management,590,Nutrient Management (CPS 590),Replace Synthetic N Fertilizer with Chicken Broiler Manure on Non-Irrigated Croplands,155.0,,0.201540823,0.00549861,-0.145900021,0.00396167,0,-999,0.201540823,0.00549861,0.0,0.0,0,0,0,0,0,-0.123622381,0.003532105,-0.02227764,0.001099389,0.0,0,0.055640802,0.002815713,-0.018529299,0.202102979,Hennepin
